,StudentID,OPT_Code,D2D,S2S,WC,lat,lon,lonlat,geometry
143,144,20259,1,0,1,-73.99837308185221,40.611365644508965,"40.611365644508965,-73.99837308185221",POINT (-73.99837308185221 40.61136564450896)
144,145,20259,1,0,1,-74.02033344613159,40.61996991987593,"40.61996991987593,-74.02033344613159",POINT (-74.02033344613159 40.61996991987593)
145,146,20259,1,0,1,-73.93271604251129,40.62424983486204,"40.62424983486204,-73.93271604251129",POINT (-73.93271604251129 40.62424983486204)
146,147,20517,1,0,0,-73.9516801562142,40.63743464699144,"40.63743464699144,-73.9516801562142",POINT (-73.95168015621419 40.63743464699144)
147,148,20517,1,0,0,-74.02649165456614,40.631786587980685,"40.631786587980685,-74.02649165456614",POINT (-74.02649165456614 40.63178658798068)
148,149,20517,1,0,0,-73.98262252281114,40.59558049754196,"40.59558049754196,-73.98262252281114",POINT (-73.98262252281114 40.59558049754196)
149,150,20517,1,0,0,-74.01065948744537,40.65425832116466,"40.65425832116466,-74.01065948744537",POINT (-74.01065948744537 40.65425832116466)
150,151,20517,1,0,0,-74.01560767425474,40.6812792407444,"40.6812792407444,-74.01560767425474",POINT (-74.01560767425474 40.6812792407444)
151,152,20517,1,0,0,-73.98918058511589,40.644161245844884,"40.644161245844884,-73.98918058511589",POINT (-73.98918058511589 40.64416124584488)
152,153,20517,1,0,0,-73.99997623851255,40.599569651818,"40.599569651818,-73.99997623851255",POINT (-73.99997623851255 40.599569651818)
153,154,20517,1,0,0,-73.96034823668174,40.64301917429549,"40.64301917429549,-73.96034823668174",POINT (-73.96034823668174 40.64301917429549)
154,155,20517,1,0,0,-73.97870894306322,40.65361155123213,"40.65361155123213,-73.97870894306322",POINT (-73.97870894306322 40.65361155123213)
155,156,20517,1,0,0,-73.97126579587973,40.62800798747867,"40.62800798747867,-73.97126579587973",POINT (-73.97126579587973 40.62800798747867)
156,157,20517,1,0,0,-73.99591548561114,40.63686996357802,"40.63686996357802,-73.99591548561114",POINT (-73.99591548561114 40.63686996357802)
157,158,20517,1,0,0,-74.004588610376,40.627104497074924,"40.627104497074924,-74.004588610376",POINT (-74.004588610376 40.62710449707492)
158,159,20517,1,0,0,-73.98496132490516,40.625816337853735,"40.625816337853735,-73.98496132490516",POINT (-73.98496132490516 40.62581633785373)
159,160,20517,1,0,0,-73.99414991498656,40.576940451840414,"40.576940451840414,-73.99414991498656",POINT (-73.99414991498656 40.57694045184041)
160,161,20517,1,0,0,-74.02495085419855,40.60492056942877,"40.60492056942877,-74.02495085419855",POINT (-74.02495085419855 40.60492056942877)
161,162,20517,1,0,0,-74.0238561607332,40.628439652168254,"40.628439652168254,-74.0238561607332",POINT (-74.0238561607332 40.62843965216825)
162,163,20517,1,0,0,-73.98511927463477,40.60184154615047,"40.60184154615047,-73.98511927463477",POINT (-73.98511927463477 40.60184154615047)
163,164,20517,1,0,0,-74.02302647229385,40.62643249576314,"40.62643249576314,-74.02302647229385",POINT (-74.02302647229385 40.62643249576314)
164,165,20517,1,0,0,-74.00637237068833,40.678605703790254,"40.678605703790254,-74.00637237068833",POINT (-74.00637237068833 40.67860570379025)
165,166,20517,1,0,0,-74.01091439668204,40.6350770922341,"40.6350770922341,-74.01091439668204",POINT (-74.01091439668204 40.6350770922341)
166,167,20517,1,0,0,-73.9868926504754,40.574556356290884,"40.574556356290884,-73.9868926504754",POINT (-73.9868926504754 40.57455635629088)
167,168,20517,1,0,0,-74.03339809354713,40.64304630953961,"40.64304630953961,-74.03339809354713",POINT (-74.03339809354713 40.64304630953961)
168,169,20517,1,0,0,-73.98050034041836,40.64673254067429,"40.64673254067429,-73.98050034041836",POINT (-73.98050034041836 40.64673254067429)
169,170,20517,1,0,0,-74.00865238859683,40.64313831378223,"40.64313831378223,-74.00865238859683",POINT (-74.00865238859683 40.64313831378223)
170,171,20517,1,0,0,-74.00126424754694,40.58086106788403,"40.58086106788403,-74.00126424754694",POINT (-74.00126424754694 40.58086106788403)
171,172,20517,1,0,0,-73.99357287668687,40.67745402568278,"40.67745402568278,-73.99357287668687",POINT (-73.99357287668687 40.67745402568278)
172,173,20517,1,0,1,-74.0295171169214,40.61492899587654,"40.61492899587654,-74.0295171169214",POINT (-74.0295171169214 40.61492899587654)
173,174,20517,1,0,1,-74.01014586663837,40.62196575561518,"40.62196575561518,-74.01014586663837",POINT (-74.01014586663837 40.62196575561518)
174,175,20517,1,0,1,-74.00907830032327,40.63913247168625,"40.63913247168625,-74.00907830032327",POINT (-74.00907830032327 40.63913247168625)
175,176,20517,1,0,1,-74.02798886749218,40.62544892792573,"40.62544892792573,-74.02798886749218",POINT (-74.02798886749218 40.62544892792573)
176,177,20517,1,0,1,-74.02449958428832,40.64569423470124,"40.64569423470124,-74.02449958428832",POINT (-74.02449958428832 40.64569423470124)
177,178,20517,1,0,1,-73.95979338105963,40.64552852562099,"40.64552852562099,-73.95979338105963",POINT (-73.95979338105963 40.64552852562099)
